time,round,nbMessages
962,349,370668
821,349,413154
639,349,374894
585,349,378766
513,349,369086
426,349,346396
583,359,395314
571,359,381204
513,359,380120
532,359,398391
691,359,444163
538,359,389705
582,359,414567
590,359,427336
607,359,412952
748,359,401832
686,359,407622
554,359,455627
596,359,394230
928,359,507334
602,359,406902
654,359,405995
513,359,382646
591,359,404362
558,359,390612
620,359,379571
1136,359,437260
591,359,410611
505,359,389532
553,359,395684
501,359,426210
485,359,377948
595,359,406530
768,359,424817
652,359,397122
523,359,430741
775,359,416127
478,359,366372
583,359,397669
486,359,414668
561,359,433281
674,359,383551
603,359,416580
589,359,394409
562,359,394053
425,359,365644
434,359,367458
496,359,387531
524,359,398572
540,359,390600
489,359,379583
621,359,413863
525,359,398574
593,359,409792
479,359,375414
741,359,416308
454,359,384641
556,369,410888
696,369,435248
404,369,387098
652,369,495328
733,369,496190
756,369,441192
630,369,424460
518,369,411072
567,369,425578
719,369,446780
734,369,433760
700,369,458022
708,369,428368
496,369,397126
552,369,414794
714,369,428368
653,369,433764
746,369,440236
507,369,404942
635,369,489316
695,369,503584
779,369,430226
701,369,461450
956,369,407724
1032,369,471724
496,369,393230
659,369,465186
525,369,401220
747,369,433206
697,369,432832
510,369,408286
739,369,438784
552,369,409398
467,369,400666
678,369,458928
645,369,420182
512,369,457994
849,369,414608
689,369,422604
756,369,419444
819,369,437852
478,369,394530
540,369,409212
628,369,444762
704,369,424276
548,369,405316
506,369,405682
773,369,480488
578,369,422606
559,369,420306
641,369,429110
532,379,422315
493,379,416975
633,379,446186
626,379,439887
610,379,438739
700,379,496736
742,379,449628
925,379,446184
637,379,428053
717,379,441413
726,379,440649
767,379,440078
643,379,448269
660,379,445233
560,379,429766
569,379,428813
625,379,429012
785,379,505025
618,379,433013
680,379,443512
598,379,435301
601,379,481373
703,379,453828
729,379,457455
640,379,446188
639,379,446948
754,379,456118
692,379,458219
549,379,437020
494,379,424792
550,379,434541
582,379,434159
507,379,427279
649,379,456828
626,379,446188
694,379,477149
615,379,427277
583,379,425753
635,379,440462
540,379,428236
560,379,430144
604,379,452405
620,379,430339
543,379,437786
812,379,515251
649,379,463298
604,379,442939
841,379,456691
528,379,475103
1024,379,602363
756,379,445997
577,389,450620
656,389,461786
641,389,464726
646,389,553476
529,389,444154
674,389,469822
538,389,450616
587,389,450030
549,389,448660
758,389,483344
585,389,485960
826,389,479424
880,389,511656
744,389,472172
682,389,484134
754,389,478054
826,389,486286
701,389,470018
1030,389,498242
620,389,457684
785,389,458848
903,389,518242
631,389,452380
861,389,576954
579,389,516372
593,389,451398
785,389,475308
574,389,452384
770,389,521938
532,389,455320
681,389,533198
622,389,451992
702,389,590470
885,389,584756
866,389,485896
684,389,473554
636,389,463160
515,389,425354
551,389,444738
734,389,525350
676,389,450418
985,389,489422
1345,389,477270
1014,389,474720
914,389,465312
873,389,464338
1079,389,588502
838,389,479018
1011,389,558696
574,389,462324
607,389,454340
959,399,517583
662,399,507642
829,399,514773
805,399,583559
576,399,477387
815,399,507334
723,399,488042
676,399,489445
